source,actions
"['a', 'b', 'd', 'i', 'k', 'o', 'v', 'a', 't']","['COPY', 'b @@', 'COPY', 'COPY', 'k @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'b', 'd', 'o', 'm', 'e', 'n']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY']"
"['a', 'b', 'e', 'c', 'e', 'd', 'u']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'd @@', 'COPY']"
"['a', 'b', 'o', 'n', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'b', 'o', 'n', 'o', 'v', 'á', 'n', 'í']","['COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'á @@', 'n @@', 'COPY']"
"['a', 'b', 's', 'o', 'l', 'u', 't', 'n', 'a']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY']"
"['a', 'b', 's', 'o', 'l', 'u', 't', 'n', 'e', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY', 'COPY']"
"['a', 'b', 's', 'o', 'l', 'u', 't', 'n', 'o']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY']"
"['a', 'b', 's', 'o', 'l', 'u', 't', 'n', 'í']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY']"
"['a', 'b', 's', 'o', 'l', 'u', 't', 'n', 'í', 'c', 'h']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 'b', 's', 'o', 'l', 'u', 't', 'n', 'í', 'm']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'í @@', 'COPY']"
"['a', 'b', 's', 'o', 'l', 'u', 't', 'n', 'ě']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'COPY', 't @@', 'n @@', 'COPY']"
"['a', 'b', 's', 'o', 'r', 'b', 'o', 'v', 'a', 't']","['COPY', 'b @@', 'COPY', 'COPY', 'COPY', 'b @@', 'COPY', 'COPY', 'a @@', 'COPY']"
"['a', 'b', 's', 't', 'e', 'n', 'o', 'v', 'a', 'n', 'o', 's', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'n @@', 'COPY', 'COPY', 'COPY']"
"['a', 'b', 's', 't', 'e', 'n', 'o', 'v', 'a', 't']","['COPY', 'COPY', 'COPY', 'COPY', 'COPY', 'n @@', 'COPY', 'COPY', 'a @@', 'COPY']"
